"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 28, 2018",Texas,Amarillo,"1400 block of N Jefferson St",0,1,N/A
"February 28, 2018",Texas,Lubbock,"1600 block of 59th St",0,1,N/A
"February 28, 2018",Oklahoma,"Oklahoma City","700 block of Wilshire Boulevard",0,1,N/A
"February 28, 2018",Pennsylvania,Philadelphia,"1500 block of Ruan St",0,1,N/A
"February 28, 2018",Missouri,"Kansas City","20th and Poplar Avenue",0,2,N/A
"February 28, 2018",Indiana,Evansville,"Haven Dr",0,1,N/A
"February 28, 2018",Kentucky,Owensboro,"2100 block of McFarland Ave",0,1,N/A
"February 28, 2018",Texas,Dallas,"2200 block of Lolita",1,0,N/A
"February 28, 2018","North Carolina",Concord,"940 Concord Pkwy N",0,1,N/A
"February 28, 2018",Virginia,"South Boston","Sandy Beach Rd",1,1,N/A
"February 28, 2018",California,Fairfield,"Crowley Ln and Pennsylvania Ave",0,1,N/A
"February 28, 2018",Georgia,Athens,N/A,0,1,N/A
"February 28, 2018",California,"Sherman Oaks","15000 block of Valley Vista Blvd",0,2,N/A
"February 28, 2018",Tennessee,Memphis,"National St and Fairoaks Ave",0,2,N/A
"February 28, 2018",Washington,Tacoma,"2400 block of S 52nd St",0,1,N/A
"February 28, 2018",Louisiana,"Baton Rouge","2400 block of Jackson Avenue",0,1,N/A
"February 28, 2018",Arkansas,"Little Rock","6100 block of Fourche Dam Pike",0,1,N/A
"February 28, 2018","South Carolina","North Charleston","1400 block of Bexley Street",0,1,N/A
"February 28, 2018",Ohio,Cincinnati,"S Fred Shuttleworth Circle and Reading Rd",0,1,N/A
"February 28, 2018",Alabama,Birmingham,"Cullman Avenue and 30th Street",0,2,N/A
"February 28, 2018",Illinois,Freeport,"S Pine Ave and W Elk St",0,1,N/A
"February 28, 2018",Mississippi,Jackson,"El Paso St",0,1,N/A
"February 28, 2018",Illinois,Chicago,"3700 W Arthington St",0,1,N/A
"February 28, 2018",Illinois,Rockford,"1300 block of 31st St",0,1,N/A
"February 28, 2018",Colorado,"Colorado Springs","4200 Grassy Ct",0,1,N/A
"February 28, 2018",Kentucky,Eastview,"Tabbs Hollow Rd",0,1,N/A
"February 28, 2018",Pennsylvania,Allentown,"1227 Airport Rd",2,1,N/A
"February 28, 2018",Florida,Tampa,"3200 block of E Caracas St",0,1,N/A
"February 28, 2018",Louisiana,Winnsboro,"2100 block of Roland St",0,1,N/A
"February 28, 2018",Florida,Orlando,"10536 Moss Park Rd",0,1,N/A
"February 28, 2018",Pennsylvania,Philadelphia,"2900 block of Van Pelt St",0,2,N/A
"February 28, 2018","New Jersey",Edgewater,"200 block of Roosevelt Ave",1,1,N/A
"February 28, 2018",Wisconsin,Milwaukee,"North Ave and Buffum St",0,1,N/A
"February 28, 2018",Maryland,Baltimore,"1700 block of N Port St",0,1,N/A
"February 28, 2018",Maryland,Baltimore,"5500 block of Bowleys Ln",0,1,N/A
"February 28, 2018",Ohio,Ashtabula,"5900 block of Ogden Ave",0,1,N/A
"February 28, 2018",Michigan,Detroit,"Kendall St and 14th St",0,1,N/A
